iter	RMSE
0	0.389511664
1	0.3840064769
2	0.3814171432
3	0.3803650108
4	0.3792466709
5	0.3788486135
6	0.3783767733
7	0.3780353075
8	0.3777203938
9	0.3775544601
10	0.3773670673
11	0.3772052181
12	0.3770452677
13	0.3768985415
14	0.3767457737
15	0.3766069715
16	0.376493824
17	0.3763561496
18	0.3762850181
19	0.3761480504
20	0.3760311246
21	0.3758384969
22	0.3757108288
23	0.3755644398
24	0.375505918
25	0.3754429368
26	0.3753522094
27	0.3752702465
28	0.3751924593
29	0.3751394024
30	0.3750535518
31	0.3749866555
32	0.3749392569
33	0.3748600204
34	0.3748121052
35	0.3747543467
36	0.3746797649
37	0.3745929858
38	0.3745328171
39	0.3744980817
40	0.3744462172
41	0.3744163974
42	0.3743792041
43	0.374328951
44	0.374281692
45	0.3742255702
46	0.3741935554
47	0.3741607356
48	0.3741329347
49	0.3740626312
