iter	Passed	Remaining
0	223	10970
1	343	8251
2	462	7246
3	576	6631
4	694	6249
5	824	6043
6	943	5797
7	1094	5748
8	1222	5567
9	1343	5374
10	1463	5189
11	1575	4987
12	1692	4816
13	1803	4637
14	1908	4453
15	2016	4285
16	2131	4136
17	2241	3985
18	2357	3845
19	2474	3711
20	2590	3577
21	2688	3421
22	2806	3294
23	2919	3162
24	3029	3029
25	3131	2890
26	3244	2763
27	3355	2636
28	3459	2505
29	3578	2385
30	3689	2261
31	3807	2141
32	3928	2023
33	4047	1904
34	4169	1786
35	4280	1664
36	4409	1549
37	4518	1426
38	4620	1303
39	4756	1189
40	4873	1069
41	4997	951
42	5111	832
43	5238	714
44	5362	595
45	5487	477
46	5585	356
47	5688	237
48	5789	118
49	5908	0
